time (ms), x-accel, y-accel, z-accel
11870.639999993728, -0.450394, 0.774429, 0.392838
11895.909999992, -0.430222, 0.740326, 0.420578
11921.159999998054, -0.413284, 0.722855, 0.429581
11946.409999989555, -0.412506, 0.733734, 0.423355
11971.689999991213, -0.429565, 0.778442, 0.415253
11996.929999993881, -0.433777, 0.823334, 0.403748
12022.199999992154, -0.413879, 0.832245, 0.394318
12047.449999998207, -0.407181, 0.853699, 0.397018
12072.699999989709, -0.390442, 0.893066, 0.405624
12097.969999987981, -0.387497, 0.929688, 0.416
12123.22999999742, -0.38887, 0.994568, 0.414078
12148.499999995693, -0.389053, 1.118805, 0.431335
12173.750000001746, -0.376389, 1.08017, 0.428848
12198.999999993248, -0.36763, 1.025681, 0.415482
12224.26999999152, -0.343933, 1.060898, 0.400024
12249.519999997574, -0.313553, 1.198288, 0.384247
12274.789999995846, -0.327316, 1.250641, 0.333893
12300.0400000019, -0.345261, 1.232941, 0.263535
12325.310000000172, -0.33313, 1.197479, 0.2034
12350.559999991674, -0.320511, 1.173386, 0.183319
12375.809999997728, -0.236115, 1.138367, 0.22197
12401.079999996, -0.237869, 1.110138, 0.166718
12426.330000002054, -0.225922, 1.055496, 0.127975
12451.600000000326, -0.227478, 0.965088, 0.156586
12476.849999991828, -0.261368, 0.881332, 0.11647
12502.099999997881, -0.179993, 0.837982, 0.092422
12527.369999996154, -0.161438, 0.736237, 0.089188
12552.620000002207, -0.187729, 0.664337, 0.086945
12577.89000000048, -0.260452, 0.634918, 0.097382
12603.139999991981, -0.30806, 0.628677, 0.097137
12628.389999998035, -0.367432, 0.632141, 0.133972
12653.659999996307, -0.43718, 0.655365, 0.198105
12678.91000000236, -0.470932, 0.682739, 0.251495
12704.180000000633, -0.49147, 0.711273, 0.287827
12729.43999999552, -0.518021, 0.707336, 0.315475
12754.690000001574, -0.561157, 0.709854, 0.32962
12779.959999999846, -0.681534, 0.715942, 0.362289
12805.209999991348, -0.712997, 0.648132, 0.4328
12830.47999998962, -0.715393, 0.696564, 0.4384
12855.719999992289, -0.795395, 0.889221, 0.391159
12880.969999998342, -0.959732, 0.971634, 0.384323
12906.239999996615, -1.081329, 0.909348, 0.472351
12931.489999988116, -1.043625, 0.87233, 0.565277
12956.76000000094, -0.908585, 0.901947, 0.636551
12981.999999989057, -0.840164, 0.859283, 0.641052
13007.24999999511, -0.92804, 0.880341, 0.547119
13032.519999993383, -1.085434, 0.915665, 0.432327
13057.769999999437, -1.229172, 0.829086, 0.3806
13083.039999997709, -1.098251, 0.766266, 0.226486
13108.28999998921, -0.994049, 0.714111, 0.153183
13133.529999991879, -0.910934, 0.441803, 0.158676
13158.799999990151, -0.890167, 0.265854, 0.143173
13184.049999996205, -0.840942, 0.119873, -0.036316
13209.319999994477, -0.697006, -0.001678, -0.200439
13234.559999997145, -0.624069, -0.046677, -0.328659
13259.809999988647, -0.536591, -0.097336, -0.452698
13285.080000001471, -0.51265, -0.160599, -0.501785
13310.329999992973, -0.480652, -0.18663, -0.507172
